HDI Rank,Country,Human Development Index (2014),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank,Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Repeat,Continent
1,Norway,0.944,81.6,17.5,12.6,"64,992",5,0.94,0.941,0.942,0.942,0.944,Europe
2,Australia,0.935,82.4,20.2,13,"42,261",17,0.927,0.93,0.932,0.933,0.935,Oceania
3,Switzerland,0.93,83,15.8,12.8,"56,431",6,0.924,0.925,0.927,0.928,0.93,Europe
4,Denmark,0.923,80.2,18.7,12.7,"44,025",11,0.908,0.92,0.921,0.923,0.923,Europe
5,Netherlands,0.922,81.6,17.9,11.9,"45,435",9,0.909,0.919,0.92,0.92,0.922,Europe
6,Germany,0.916,80.9,16.5,13.1,"43,919",11,0.906,0.911,0.915,0.915,0.916,Europe
6,Ireland,0.916,80.9,18.6,12.2,"39,568",16,0.908,0.909,0.91,0.912,0.916,Europe
8,United States,0.915,79.1,16.5,12.9,"52,947",3,0.909,0.911,0.912,0.913,0.915,America
9,Canada,0.913,82,15.9,13,"42,155",11,0.903,0.909,0.91,0.912,0.913,America
9,New Zealand,0.913,81.8,19.2,12.5,"32,689",23,0.905,0.907,0.909,0.911,0.913,Oceania
11,Singapore,0.912,83,15.4,10.6,"76,628",-7,0.897,0.903,0.905,0.909,0.912,Asia
12,"Hong Kong, China (SAR)",0.91,84,15.6,11.2,"53,959",-2,0.898,0.902,0.906,0.908,0.91,Asia
13,Liechtenstein,0.908,80,15,11.8,"79,851",-10,0.902,0.903,0.906,0.907,0.908,Europe
14,Sweden,0.907,82.2,15.8,12.1,"45,636",-1,0.901,0.903,0.904,0.905,0.907,Europe
14,United Kingdom,0.907,80.7,16.2,13.1,"39,267",9,0.906,0.901,0.901,0.902,0.907,Europe
16,Iceland,0.899,82.6,19,10.6,"35,182",12,0.892,0.896,0.897,0.899,0.899,Europe
17,Korea (Republic of),0.898,81.9,16.9,11.9,"33,890",13,0.886,0.891,0.893,0.895,0.898,Asia
18,Israel,0.894,82.4,16,12.5,"30,676",16,0.883,0.888,0.89,0.893,0.894,Asia
19,Luxembourg,0.892,81.7,13.9,11.7,"58,711",-11,0.886,0.888,0.888,0.89,0.892,Europe
20,Japan,0.891,83.5,15.3,11.5,"36,927",7,0.884,0.886,0.888,0.89,0.891,Asia
21,Belgium,0.89,80.8,16.3,11.3,"41,187",0,0.883,0.886,0.889,0.888,0.89,Europe
22,France,0.888,82.2,16,11.1,"38,056",4,0.881,0.884,0.886,0.887,0.888,Europe
23,Austria,0.885,81.4,15.7,10.8,"43,869",-5,0.879,0.881,0.884,0.884,0.885,Europe
24,Finland,0.883,80.8,17.1,10.3,"38,695",0,0.878,0.881,0.882,0.882,0.883,Europe
25,Slovenia,0.88,80.4,16.8,11.9,"27,852",12,0.876,0.877,0.878,0.878,0.88,Europe
26,Spain,0.876,82.6,17.3,9.6,"32,045",7,0.867,0.87,0.874,0.874,0.876,Europe
27,Italy,0.873,83.1,16,10.1,"33,030",4,0.869,0.873,0.872,0.873,0.873,Europe
28,Czech Republic,0.87,78.6,16.4,12.3,"26,660",10,0.863,0.866,0.867,0.868,0.87,Europe
29,Greece,0.865,80.9,17.6,10.3,"24,524",14,0.866,0.864,0.865,0.863,0.865,Europe
30,Estonia,0.861,76.8,16.5,12.5,"25,214",12,0.838,0.849,0.855,0.859,0.861,Europe
31,Brunei Darussalam,0.856,78.8,14.5,8.8,"72,570",-26,0.843,0.847,0.852,0.852,0.856,Asia
32,Cyprus,0.85,80.2,14,11.6,"28,633",3,0.848,0.852,0.852,0.85,0.85,Asia
32,Qatar,0.85,78.2,13.8,9.1,"123,124",-31,0.844,0.841,0.848,0.849,0.85,Asia
34,Andorra,0.845,81.3,13.5,9.6,"43,978",-18,0.823,0.821,0.844,0.844,0.845,Europe
35,Slovakia,0.844,76.3,15.1,12.2,"25,845",5,0.827,0.832,0.836,0.839,0.844,Europe
36,Poland,0.843,77.4,15.5,11.8,"23,177",10,0.829,0.833,0.838,0.84,0.843,Europe
37,Lithuania,0.839,73.3,16.4,12.4,"24,500",7,0.827,0.831,0.833,0.837,0.839,Europe
37,Malta,0.839,80.6,14.4,10.3,"27,930",-1,0.824,0.822,0.83,0.837,0.839,Europe
39,Saudi Arabia,0.837,74.3,16.3,8.7,"52,821",-27,0.805,0.816,0.826,0.836,0.837,Europe
40,Argentina,0.836,76.3,17.9,9.8,"22,050",11,0.811,0.818,0.831,0.833,0.836,Asia
41,United Arab Emirates,0.835,77,13.3,9.5,"60,868",-34,0.828,0.829,0.831,0.833,0.835,Asia
42,Chile,0.832,81.7,15.2,9.8,"21,290",11,0.814,0.821,0.827,0.83,0.832,America
43,Portugal,0.83,80.9,16.3,8.2,"25,757",-2,0.819,0.825,0.827,0.828,0.83,Europe
44,Hungary,0.828,75.2,15.4,11.6,"22,916",3,0.821,0.823,0.823,0.825,0.828,Europe
45,Bahrain,0.824,76.6,14.4,9.4,"38,599",-20,0.819,0.817,0.819,0.821,0.824,Asia
46,Latvia,0.819,74.2,15.2,11.5,"22,281",4,0.811,0.812,0.813,0.816,0.819,Europe
47,Croatia,0.818,77.3,14.8,11,"19,409",11,0.807,0.814,0.817,0.817,0.818,Europe
48,Kuwait,0.816,74.4,14.7,7.2,"83,961",-46,0.809,0.812,0.815,0.816,0.816,Asia
49,Montenegro,0.802,76.2,15.2,11.2,"14,558",27,0.792,0.798,0.798,0.801,0.802,Europe
50,Belarus,0.798,71.3,15.7,12,"16,676",14,0.786,0.793,0.796,0.796,0.798,Europe
50,Russian Federation,0.798,70.1,14.7,12,"22,352",-1,0.783,0.79,0.795,0.797,0.798,Europe
52,Oman,0.793,76.8,13.6,8,"34,858",-23,0.795,0.793,0.793,0.792,0.793,Asia
52,Romania,0.793,74.7,14.2,10.8,"18,108",10,0.784,0.786,0.788,0.791,0.793,Europe
52,Uruguay,0.793,77.2,15.5,8.5,"19,283",7,0.78,0.784,0.788,0.79,0.793,America
55,Bahamas,0.79,75.4,12.6,10.9,"21,336",-3,0.774,0.778,0.783,0.786,0.79,America
56,Kazakhstan,0.788,69.4,15,11.4,"20,867",-1,0.766,0.772,0.778,0.785,0.788,Asia
57,Barbados,0.785,75.6,15.4,10.5,"12,488",27,0.78,0.786,0.793,0.785,0.785,America
58,Antigua and Barbuda,0.783,76.1,14,9.2,"20,070",-1,0.782,0.778,0.781,0.781,0.783,America
59,Bulgaria,0.782,74.2,14.4,10.6,"15,596",13,0.773,0.775,0.778,0.779,0.782,America
60,Palau,0.78,72.7,13.7,12.3,"13,496",18,0.767,0.77,0.775,0.775,0.78,Oceania
60,Panama,0.78,77.6,13.3,9.3,"18,192",1,0.761,0.759,0.772,0.777,0.78,America
62,Malaysia,0.779,74.7,12.7,10,"22,762",-14,0.769,0.772,0.774,0.777,0.779,Asia
63,Mauritius,0.777,74.4,15.6,8.5,"17,470",0,0.756,0.762,0.772,0.775,0.777,Africa
64,Seychelles,0.772,73.1,13.4,9.4,"23,300",-19,0.743,0.752,0.761,0.767,0.772,Africa
64,Trinidad and Tobago,0.772,70.4,12.3,10.9,"26,090",-25,0.772,0.767,0.769,0.771,0.772,America
66,Serbia,0.771,74.9,14.4,10.5,"12,190",20,0.757,0.761,0.762,0.771,0.771,Europe
67,Cuba,0.769,79.4,13.8,11.5,"7,301",47,0.778,0.776,0.772,0.768,0.769,America
67,Lebanon,0.769,79.3,13.8,7.9,"16,509",-1,0.756,0.761,0.761,0.768,0.769,Asia
69,Costa Rica,0.766,79.4,13.9,8.4,"13,413",10,0.75,0.756,0.761,0.764,0.766,America
69,Iran (Islamic Republic of),0.766,75.4,15.1,8.2,"15,440",4,0.743,0.751,0.764,0.764,0.766,Asia
71,Venezuela (Bolivarian Republic of),0.762,74.2,14.2,8.9,"16,159",-2,0.757,0.761,0.764,0.764,0.762,America
72,Turkey,0.761,75.3,14.5,7.6,"18,677",-12,0.738,0.751,0.756,0.759,0.761,Asia
73,Sri Lanka,0.757,74.9,13.7,10.8,"9,779",29,0.738,0.743,0.749,0.752,0.757,Asia
74,Mexico,0.756,76.8,13.1,8.5,"16,056",-4,0.746,0.748,0.754,0.755,0.756,America
75,Brazil,0.755,74.5,15.2,7.7,"15,175",-1,0.737,0.742,0.746,0.752,0.755,America
76,Georgia,0.754,74.9,13.8,12.1,"7,164",40,0.735,0.74,0.747,0.75,0.754,Asia
77,Saint Kitts and Nevis,0.752,73.8,12.9,8.4,"20,805",-21,0.739,0.741,0.743,0.747,0.752,America
78,Azerbaijan,0.751,70.8,11.9,11.2,"16,428",-11,0.741,0.742,0.745,0.749,0.751,Asia
79,Grenada,0.75,73.4,15.8,8.6,"10,939",14,0.737,0.739,0.74,0.742,0.75,America
80,Jordan,0.748,74,13.5,9.9,"11,365",11,0.743,0.743,0.746,0.748,0.748,Asia
81,The former Yugoslav Republic of Macedonia,0.747,75.4,13.4,9.3,"11,780",9,0.738,0.742,0.743,0.744,0.747,Europe
81,Ukraine,0.747,71,15.1,11.3,"8,178",25,0.732,0.738,0.743,0.746,0.747,Europe
83,Algeria,0.736,74.8,14,7.6,"13,054",-1,0.725,0.73,0.732,0.734,0.736,Africa
84,Peru,0.734,74.6,13.1,9,"11,015",8,0.718,0.722,0.728,0.732,0.734,America
85,Albania,0.733,77.8,11.8,9.3,"9,943",14,0.722,0.728,0.729,0.732,0.733,Europe
85,Armenia,0.733,74.7,12.3,10.9,"8,124",22,0.721,0.723,0.728,0.731,0.733,Asia
85,Bosnia and Herzegovina,0.733,76.5,13.6,8.3,"9,638",19,0.71,0.724,0.726,0.729,0.733,Europe
88,Ecuador,0.732,75.9,14.2,7.6,"10,605",7,0.717,0.723,0.727,0.73,0.732,America
89,Saint Lucia,0.729,75.1,12.6,9.3,"9,765",14,0.73,0.73,0.73,0.729,0.729,America
90,China,0.727,75.8,13.1,7.5,"12,547",-7,0.699,0.707,0.718,0.723,0.727,Asia
90,Fiji,0.727,70,15.7,9.9,"7,493",21,0.717,0.72,0.722,0.724,0.727,Oceania
90,Mongolia,0.727,69.4,14.6,9.3,"10,729",4,0.695,0.706,0.714,0.722,0.727,Asia
93,Thailand,0.726,74.4,13.5,7.3,"13,323",-13,0.716,0.721,0.723,0.724,0.726,Asia
94,Dominica,0.724,77.8,12.7,7.9,"9,994",4,0.723,0.723,0.723,0.723,0.724,America
94,Libya,0.724,71.6,14,7.3,"14,911",-19,0.756,0.711,0.745,0.738,0.724,Africa
96,Tunisia,0.721,74.8,14.6,6.8,"10,404",1,0.714,0.715,0.719,0.72,0.721,Africa
97,Colombia,0.72,74,13.5,7.3,"12,040",-9,0.706,0.713,0.715,0.718,0.72,America
97,Saint Vincent and the Grenadines,0.72,72.9,13.4,8.6,"9,937",3,0.711,0.713,0.715,0.717,0.72,America
99,Jamaica,0.719,75.7,12.4,9.7,"7,415",13,0.727,0.727,0.723,0.717,0.719,America
100,Tonga,0.717,72.8,14.7,10.7,"5,069",32,0.713,0.716,0.717,0.716,0.717,Oceania
101,Belize,0.715,70,13.6,10.5,"7,614",9,0.709,0.711,0.716,0.715,0.715,America
101,Dominican Republic,0.715,73.5,13.1,7.6,"11,883",-12,0.701,0.704,0.708,0.711,0.715,America
103,Suriname,0.714,71.1,12.7,7.7,"15,617",-32,0.707,0.709,0.711,0.713,0.714,America
104,Maldives,0.706,76.8,13,5.8,"12,328",-19,0.683,0.69,0.695,0.703,0.706,Asia
105,Samoa,0.702,73.4,12.9,10.3,"5,327",24,0.696,0.698,0.7,0.701,0.702,Oceania
106,Botswana,0.698,64.5,12.5,8.9,"16,646",-41,0.681,0.688,0.691,0.696,0.698,Africa
107,Moldova (Republic of),0.693,71.6,11.9,11.2,"5,223",23,0.672,0.679,0.683,0.69,0.693,Europe
108,Egypt,0.69,71.1,13.5,6.6,"10,512",-12,0.681,0.682,0.688,0.689,0.69,Africa
109,Turkmenistan,0.688,65.6,10.8,9.9,"13,066",-28,0.666,0.671,0.677,0.682,0.688,Asia
110,Gabon,0.684,64.4,12.5,7.8,"16,367",-42,0.663,0.668,0.673,0.679,0.684,Africa
110,Indonesia,0.684,68.9,13,7.6,"9,788",-9,0.665,0.671,0.678,0.681,0.684,Asia
112,Paraguay,0.679,72.9,11.9,7.7,"7,643",-3,0.668,0.671,0.669,0.677,0.679,America
113,"Palestine, State of",0.677,72.9,13,8.9,"4,699",21,0.67,0.675,0.685,0.679,0.677,Asia
114,Uzbekistan,0.675,68.4,11.5,10.9,"5,567",10,0.655,0.661,0.668,0.672,0.675,Asia
115,Philippines,0.668,68.2,11.3,8.9,"7,915",-7,0.654,0.653,0.657,0.664,0.668,Asia
116,El Salvador,0.666,73,12.3,6.5,"7,349",-3,0.653,0.658,0.662,0.664,0.666,America
